인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
107,107,0.032169085,0.031065893,0.270062101,0.048965599,0.041362758,1.176661382,96.57064404,84.47309595,1.60002594,1.60002594,0.690617981,0.032169085,0.031065893
108,108,0.032055153,0.030950335,0.271166919,0.048783829,0.041218703,1.184226507,96.55338409,84.49255459,1.600178833,1.600178833,0.6990271,0.032055153,0.030950335
109,109,0.031889386,0.03114667,0.271909635,0.048534922,0.041473458,1.191287972,97.67096174,85.45075521,1.60002594,1.60002594,0.691382446,0.031889386,0.03114667
110,110,0.032140199,0.031207134,0.272842699,0.048929871,0.04155312,1.198664723,97.09689208,84.92382984,1.60002594,1.60002594,0.689394836,0.032140199,0.031207134
111,111,0.032083121,0.030919074,0.274006746,0.048858999,0.041166861,1.20635686,96.37177814,84.25645649,1.600637512,1.600637512,0.695816345,0.032083121,0.030919074
112,112,0.03173791,0.030688515,0.275056141,0.04834475,0.040850455,1.213851155,96.69355938,84.49822404,1.60002594,1.60002594,0.690159302,0.03173791,0.030688515
113,113,0.031563334,0.030396634,0.276222841,0.048089117,0.040462188,1.221478085,96.30362326,84.14000939,1.60002594,1.60002594,0.694746094,0.031563334,0.030396634
114,114,0.031213977,0.030161847,0.27727497,0.047562636,0.040137145,1.228903576,96.62930008,84.38797391,1.60002594,1.60002594,0.692452698,0.031213977,0.030161847
115,115,0.031033654,0.029865103,0.278443522,0.047296329,0.039730915,1.236468989,96.23456699,84.00422675,1.60002594,1.60002594,0.697956848,0.031033654,0.029865103
116,116,0.030745278,0.029928762,0.279260037,0.046864476,0.039808182,1.243525284,97.34425729,84.9431917,1.600178833,1.600178833,0.696580811,0.030745278,0.029928762
117,117,0.030699818,0.029701134,0.280258721,0.046801364,0.039505749,1.250820899,96.74694051,84.41153328,1.60002594,1.60002594,0.69856842,0.030699818,0.029701134
118,118,0.030520415,0.029468302,0.281310833,0.046535414,0.039178736,1.258177576,96.5527597,84.19122717,1.60002594,1.60002594,0.688018799,0.030520415,0.029468302
119,119,0.030290169,0.029295859,0.282305143,0.046189215,0.038955914,1.265410878,96.71738347,84.33984694,1.600178833,1.600178833,0.697956848,0.030290169,0.029295859
120,120,0.030113852,0.029064481,0.283354514,0.045923281,0.038650095,1.272684064,96.51532179,84.16231257,1.60002594,1.60002594,0.688936157,0.030113852,0.029064481
121,121,0.029879626,0.029000517,0.284233623,0.045570265,0.038534794,1.279719535,97.05782998,84.56126902,1.60002594,1.60002594,0.693522949,0.029879626,0.029000517
122,122,0.029830231,0.028892653,0.285171201,0.045497965,0.038408752,1.286808748,96.85695266,84.41861416,1.600178833,1.600178833,0.691229553,0.029830231,0.028892653
123,123,0.029653483,0.028709201,0.286115483,0.045229818,0.038147719,1.293890847,96.81561264,84.34196842,1.60002594,1.60002594,0.691535339,0.029653483,0.028709201
124,124,0.029482751,0.028723841,0.286874393,0.044975255,0.038177936,1.300688166,97.42591882,84.8865372,1.60002594,1.60002594,0.688630371,0.029482751,0.028723841
125,125,0.029482208,0.028545383,0.287811218,0.044984059,0.037870662,1.307801563,96.8224058,84.18684876,1.60002594,1.60002594,0.688477478,0.029482208,0.028545383
126,126,0.029202529,0.028316726,0.288697021,0.044608181,0.037562885,1.31484686,96.96668904,84.20626774,1.60002594,1.60002594,0.687407227,0.029202529,0.028316726
127,127,0.029027162,0.028088474,0.28963571,0.04434367,0.03726596,1.32192457,96.76617336,84.03896095,1.60002594,1.60002594,0.691535339,0.029027162,0.028088474
128,128,0.028905214,0.028032344,0.290508579,0.044165714,0.037187769,1.328902515,96.9802357,84.20053849,1.60002594,1.60002594,0.68710144,0.028905214,0.028032344
129,129,0.02873487,0.027973647,0.291269802,0.043905939,0.037103618,1.335704836,97.35087437,84.50705994,1.600178833,1.600178833,0.696122131,0.02873487,0.027973647
130,130,0.028678331,0.02773777,0.292210363,0.043823269,0.036771331,1.342756774,96.72030789,83.90823375,1.60002594,1.60002594,0.688324585,0.028678331,0.02773777
131,131,0.028508475,0.027626486,0.293092352,0.043563177,0.036646874,1.349673077,96.90622136,84.12350999,1.60002594,1.60002594,0.693828735,0.028508475,0.027626486
132,132,0.02833185,0.027456439,0.293967763,0.043299361,0.036424711,1.356547727,96.91015201,84.12297594,1.600178833,1.600178833,0.699332886,0.02833185,0.027456439
133,133,0.0281598,0.027391827,0.294735736,0.04304143,0.036310979,1.363278178,97.27280363,84.36285437,1.600484619,1.600484619,0.688630371,0.0281598,0.027391827
134,134,0.0281053,0.027223164,0.295617872,0.042960612,0.036105166,1.370133624,96.86131789,84.04248634,1.600331726,1.600331726,0.693981628,0.0281053,0.027223164
135,135,0.027853883,0.026864604,0.296607152,0.042568334,0.035618192,1.377083766,96.44832435,83.67297637,1.60002594,1.60002594,0.695204773,0.027853883,0.026864604
136,136,0.027632705,0.026980211,0.297259646,0.042238304,0.035757389,1.383564681,97.6386892,84.65630754,1.60002594,1.60002594,0.693981628,0.027632705,0.026980211
137,137,0.027640954,0.026924681,0.297975919,0.042251926,0.035674544,1.390142063,97.40865287,84.43294263,1.60002594,1.60002594,0.691535339,0.027640954,0.026924681
138,138,0.027640297,0.026758358,0.298857858,0.042257076,0.035468502,1.396930637,96.80922455,83.93505913,1.600484619,1.600484619,0.689547729,0.027640297,0.026758358
139,139,0.02740521,0.026581269,0.2996818,0.041901654,0.035214217,1.403618074,96.99348731,84.04016004,1.60002594,1.60002594,0.697651062,0.02740521,0.026581269
140,140,0.027238169,0.026404503,0.300515466,0.041648008,0.03495236,1.410313722,96.93934525,83.92324475,1.60002594,1.60002594,0.688477478,0.027238169,0.026404503
141,141,0.027121483,0.02603788,0.301599069,0.041490639,0.034476655,1.417327706,96.00463215,83.09501991,1.60002594,1.60002594,0.69505188,0.027121483,0.02603788
142,142,0.026641412,0.026050302,0.302190178,0.040739173,0.034483446,1.423583433,97.78123822,84.64444463,1.60002594,1.60002594,0.687254333,0.026641412,0.026050302
143,143,0.026826,0.026115873,0.302900305,0.041028527,0.034587029,1.43002493,97.35284082,84.29995444,1.60002594,1.60002594,0.695969238,0.026826,0.026115873
144,144,0.026766688,0.02606293,0.303604063,0.040940582,0.034518866,1.436446646,97.37077024,84.31454741,1.60002594,1.60002594,0.694898987,0.026766688,0.02606293
145,145,0.026758255,0.025638466,0.304723852,0.040932194,0.033957089,1.443421751,95.81516345,82.95936697,1.60002594,1.60002594,0.699179993,0.026758255,0.025638466
146,146,0.026289149,0.025768799,0.305244203,0.040212881,0.034126957,1.449507675,98.02066508,84.86573404,1.600178833,1.600178833,0.695969238,0.026289149,0.025768799
