인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
83,83,0.0441743,0.041575413,1.465762865,0.067634339,0.057227809,3.553143522,94.11674401,84.61354082,1.600484619,1.600484619,0.692299805,0.0441743,0.041575413
84,84,0.042390909,0.04048118,1.467672594,0.064863925,0.055688881,3.562318566,95.49495558,85.85493499,1.600178833,1.600178833,0.69505188,0.042390909,0.04048118
85,85,0.042436007,0.040245137,1.469863465,0.064953088,0.055346531,3.571925123,94.83723733,85.21000718,1.600178833,1.600178833,0.695357666,0.042436007,0.040245137
86,86,0.042506973,0.040380848,1.471989591,0.065064777,0.055535119,3.581454781,94.99817165,85.3535839,1.60002594,1.60002594,0.698109741,0.042506973,0.040380848
87,87,0.041666642,0.039697502,1.47395873,0.063756303,0.054597047,3.590614037,95.27406322,85.63395969,1.60002594,1.60002594,0.690312195,0.041666642,0.039697502
88,88,0.041536549,0.039647901,1.475847378,0.063554083,0.054524523,3.599643597,95.45304539,85.79232154,1.600178833,1.600178833,0.695663452,0.041536549,0.039647901
89,89,0.040589912,0.038920448,1.477516842,0.062117087,0.053499125,3.608261559,95.88699604,86.12626239,1.600178833,1.600178833,0.690159302,0.040589912,0.038920448
90,90,0.040636326,0.038690534,1.479462635,0.062190299,0.053189722,3.617262135,95.21169237,85.52736181,1.600790405,1.600790405,0.699332886,0.040636326,0.038690534
91,91,0.040747163,0.038727912,1.481481885,0.062356662,0.053239568,3.626379229,95.04443886,85.37911848,1.60002594,1.60002594,0.695969238,0.040747163,0.038727912
92,92,0.040175423,0.03799835,1.483658958,0.061456151,0.052211945,3.635623434,94.58108355,84.95804708,1.60002594,1.60002594,0.693675842,0.040175423,0.03799835
93,93,0.039087916,0.037478043,1.48526883,0.059825867,0.051478559,3.643970743,95.8814062,86.04732579,1.60002594,1.60002594,0.696733704,0.039087916,0.037478043
94,94,0.039586481,0.03755872,1.487296592,0.060611531,0.051624111,3.652958162,94.87764228,85.17209659,1.600178833,1.600178833,0.690617981,0.039586481,0.03755872
95,95,0.038860801,0.036967522,1.489189871,0.059525995,0.050791493,3.661692663,95.12804794,85.32657614,1.600331726,1.600331726,0.695969238,0.038860801,0.036967522
96,96,0.039742064,0.037537255,1.49139468,0.060856093,0.051589224,3.670959532,94.45220459,84.77248794,1.600178833,1.600178833,0.699332886,0.039742064,0.037537255
97,97,0.03820614,0.036699944,1.492900876,0.058490092,0.050383582,3.679066043,96.05771205,86.14037006,1.60002594,1.60002594,0.697956848,0.03820614,0.036699944
98,98,0.037957968,0.036316955,1.494541889,0.05811132,0.049880981,3.687296382,95.67676188,85.83694332,1.600331726,1.600331726,0.695663452,0.037957968,0.036316955
99,99,0.038426564,0.036461927,1.496506526,0.058829176,0.050056677,3.696068881,94.88729458,85.08818263,1.60002594,1.60002594,0.694440308,0.038426564,0.036461927
100,100,0.037605496,0.035782753,1.498329269,0.057580622,0.049150428,3.704499074,95.15298726,85.35932238,1.600484619,1.600484619,0.690312195,0.037605496,0.035782753
101,101,0.037899892,0.035833233,1.500395929,0.0580214,0.049203214,3.71331726,94.54705739,84.8018391,1.60002594,1.60002594,0.690617981,0.037899892,0.035833233
102,102,0.036949174,0.035321516,1.502023586,0.056559739,0.048479961,3.721397038,95.5948735,85.71461194,1.600178833,1.600178833,0.695969238,0.036949174,0.035321516
103,103,0.036451147,0.034944222,1.503530511,0.055786676,0.047954891,3.729228824,95.8659062,85.96119018,1.60002594,1.60002594,0.688936157,0.036451147,0.034944222
104,104,0.037137539,0.035281089,1.505386961,0.05688047,0.048418852,3.737690441,95.0011498,85.12386178,1.60002594,1.60002594,0.694134521,0.037137539,0.035281089
105,105,0.03675178,0.034965141,1.507173599,0.056288181,0.047999356,3.745979265,95.13863393,85.27430738,1.600637512,1.600637512,0.69306427,0.03675178,0.034965141
106,106,0.035941144,0.034510385,1.508604358,0.055036958,0.047365487,3.753650736,96.01916232,86.06123731,1.600178833,1.600178833,0.698262634,0.035941144,0.034510385
107,107,0.036451537,0.034580878,1.510475018,0.055833996,0.047459381,3.762025352,94.86809066,85.00086725,1.600331726,1.600331726,0.699332886,0.036451537,0.034580878
108,108,0.035538898,0.033745249,1.512268668,0.054391093,0.046302553,3.770113891,94.95299595,85.1289259,1.600178833,1.600178833,0.699485779,0.035538898,0.033745249
109,109,0.035127089,0.033597183,1.513798573,0.053803415,0.046089958,3.777827348,95.64465621,85.66363067,1.60002594,1.60002594,0.69703949,0.035127089,0.033597183
110,110,0.035562188,0.033815198,1.515545563,0.054492062,0.046413904,3.785905506,95.0875074,85.17553269,1.60002594,1.60002594,0.692605591,0.035562188,0.033815198
111,111,0.034331208,0.033057645,1.516819125,0.052563882,0.045334101,3.793135286,96.29036503,86.24572593,1.60002594,1.60002594,0.691229553,0.034331208,0.033057645
112,112,0.034714903,0.033057221,1.518476808,0.053170859,0.045350754,3.800955391,95.22486679,85.29249831,1.60002594,1.60002594,0.691688232,0.034714903,0.033057221
113,113,0.034207415,0.032760448,1.519923775,0.052395497,0.044937985,3.808412903,95.77002071,85.76688411,1.600178833,1.600178833,0.689700623,0.034207415,0.032760448
114,114,0.034536952,0.032804536,1.521656191,0.052935882,0.045002251,3.816346534,94.98387765,85.01275279,1.600637512,1.600637512,0.697803955,0.034536952,0.032804536
115,115,0.034141109,0.032773599,1.523023701,0.052311209,0.044959344,3.823698399,95.9945349,85.94590937,1.60002594,1.60002594,0.691841125,0.034141109,0.032773599
116,116,0.033829285,0.032427899,1.524425087,0.051811456,0.04446753,3.831042326,95.85747718,85.82567001,1.600484619,1.600484619,0.689853516,0.033829285,0.032427899
117,117,0.032997775,0.031368739,1.526054123,0.050553063,0.04300334,3.838592048,95.06319356,85.06574722,1.60002594,1.60002594,0.699944458,0.032997775,0.031368739
118,118,0.032727389,0.031365637,1.527415875,0.050135667,0.042976552,3.845751163,95.83910583,85.72051557,1.60002594,1.60002594,0.699638672,0.032727389,0.031365637
119,119,0.03305196,0.031584779,1.528883057,0.050628936,0.043302457,3.853077642,95.56098421,85.52906738,1.60002594,1.60002594,0.697803955,0.03305196,0.031584779
120,120,0.032709464,0.031244823,1.530347698,0.050114788,0.042804885,3.860387546,95.52227106,85.41367939,1.600178833,1.600178833,0.688477478,0.032709464,0.031244823
121,121,0.03413101,0.032026253,1.532452454,0.052299817,0.043938709,3.868748654,93.83330197,84.01312192,1.600178833,1.600178833,0.699332886,0.03413101,0.032026253
122,122,0.03323072,0.031765289,1.533917885,0.050910313,0.043560612,3.876098354,95.59013136,85.563434,1.60002594,1.60002594,0.693522949,0.03323072,0.031765289
123,123,0.032521412,0.031232417,1.53520688,0.049808185,0.042824512,3.883082028,96.03647263,85.97886455,1.60002594,1.60002594,0.698262634,0.032521412,0.031232417
124,124,0.03156851,0.030604052,1.536171339,0.048324334,0.041910082,3.889496279,96.9448715,86.72666266,1.60002594,1.60002594,0.694898987,0.03156851,0.030604052
125,125,0.033527087,0.031693282,1.538005144,0.051362025,0.043452736,3.897405568,94.53037882,84.60090119,1.60002594,1.60002594,0.695510559,0.033527087,0.031693282
126,126,0.032573836,0.030622065,1.539956914,0.049921909,0.041982456,3.905345021,94.00816428,84.09625565,1.600178833,1.600178833,0.69703949,0.032573836,0.030622065
127,127,0.031416929,0.030388919,1.540984925,0.048124565,0.04162522,3.911844366,96.72784558,86.49474504,1.600484619,1.600484619,0.697803955,0.031416929,0.030388919
128,128,0.032206102,0.030734685,1.542456341,0.049352429,0.0421288,3.919067995,95.43124897,85.36317484,1.60002594,1.60002594,0.696580811,0.032206102,0.030734685
129,129,0.03201897,0.030513661,1.54396165,0.04904724,0.041809921,3.926305315,95.29869763,85.24418569,1.600178833,1.600178833,0.695816345,0.03201897,0.030513661
130,130,0.031368513,0.030023356,1.545306807,0.048071406,0.04114338,3.933233341,95.71175896,85.58805073,1.600178833,1.600178833,0.691535339,0.031368513,0.030023356
131,131,0.031018135,0.029864328,1.546460614,0.047516039,0.04090611,3.939843271,96.2802189,86.08905704,1.60002594,1.60002594,0.695357666,0.031018135,0.029864328
